In-game Name 1,Full Name 1,Steam Profile URL 1,In-game Name 2,Full Name 2,Steam Profile URL 2,In-game Name 3,Full Name 3,Steam Profile URL 3,In-game Name 4,Full Name 4,Steam Profile URL 4
a,1,http://steamcommunity.com/id/11797,a,1,http://steamcommunity.com/id/ultimate513,a,1,http://steamcommunity.com/profiles/76561198203236385/,a,1,http://steamcommunity.com/id/envisionCSGO/
b,2,https://steamcommunity.com/id/Blandelli/,b,2,http://steamcommunity.com/id/saranghaeyomomorin,b,2,http://steamcommunity.com/id/Blooooooooooooooooooooooooo,b,2,http://steamcommunity.com/id/AyameKiru
a,3,http://steamcommunity.com/profiles/76561198161150418/,a,3,http://steamcommunity.com/profiles/76561198069140113,a,3,http://steamcommunity.com/id/ca12nag3,a,3,http://steamcommunity.com/id/JVall
b,4,http://steamcommunity.com/id/b_koh17,b,4,http://steamcommunity.com/id/IAMSENGGG,b,4,http://steamcommunity.com/id/verybigbird,b,4,http://steamcommunity.com/id/ianmcnasty
a,5,http://steamcommunity.com/id/valenson/,a,5,http://steamcommunity.com/id/VoidLessHD/,a,5,http://steamcommunity.com/id/gudetamaEGG/,a,5,http://steamcommunity.com/id/piffo/
b,6,http://steamcommunity.com/id/FrostyEliteSnowman,b,6,http://steamcommunity.com/id/NinjaSG/,b,6,http://steamcommunity.com/profiles/76561197966191062/,b,6,http://steamcommunity.com/id/siupakchoi/
a,7,http://steamcommunity.com/profiles/76561198157746292/,a,7,http://steamcommunity.com/profiles/76561197975620106,a,7,http://steamcommunity.com/profiles/76561198166179330,a,7,http://steamcommunity.com/profiles/76561198099122338/
b,8,http://steamcommunity.com/id/dengerard,b,8,http://steamcommunity.com/id/IReallyKenot,b,8,http://steamcommunity.com/id/renz62jh,b,8,http://steamcommunity.com/id/MattoCruz
a,9,"http://steamcommunity.com/id/Knox1104	",a,9,http://steamcommunity.com/id/XiphiuSwOw/,a,9,http://steamcommunity.com/id/KENNYMON/,a,9,http://steamcommunity.com/profiles/76561198423809318/
b,10,http://steamcommunity.com/id/thegreg,b,10,http://steamcommunity.com/id/dois,b,10,https://steamcommunity.com/id/freakonature00,b,10,http://steamcommunity.com/profiles/76561198081440934/
a,11,http://steamcommunity.com/profiles/76561198000739980/,a,11,http://steamcommunity.com/id/sxiez,a,11,http://steamcommunity.com/profiles/76561198129711536,a,11,http://steamcommunity.com/profiles/76561198061608471/
b,12,http://steamcommunity.com/id/Zyraeth,b,12,https://steamcommunity.com/id/blurryfish,b,12,https://steamcommunity.com/id/kkrriitt9933,b,12,https://steamcommunity.com/id/caramalover
a,13,http://steamcommunity.com/id/fjtamashi/,a,13,http://steamcommunity.com/profiles/76561198163639998/,a,13,http://steamcommunity.com/profiles/76561198303041777/,a,13,http://steamcommunity.com/profiles/76561198035939525/
b,14,http://steamcommunity.com/profiles/76561197999737322,b,14,http://steamcommunity.com/profiles/76561198079947486,b,14,http://steamcommunity.com/profiles/76561198292584925,b,14, http://steamcommunity.com/profiles/76561197968629391
a,15,http://steamcommunity.com/id/willowq,a,15,http://steamcommunity.com/id/ChrispyChia/,a,15,https://steamcommunity.com/id/iamskp/,a,15,http://steamcommunity.com/id/oshiego
b,16,https://steamcommunity.com/id/Xattie,b,16,https://steamcommunity.com/id/Xquisit,b,16,https://steamcommunity.com/id/Vycious,b,16,https://steamcommunity.com/id/YANGGGG-
a,17,http://steamcommunity.com/id/jmandota/,a,17,http://steamcommunity.com/id/TiG3r3333/,a,17,http://steamcommunity.com/profiles/76561198246028120/,a,17,http://steamcommunity.com/id/BatmanPlaysDota/
b,18,http://steamcommunity.com/id/quadro1989,b,18,http://steamcommunity.com/profiles/76561198017342316/,b,18,https://steamcommunity.com/id/kanesssss,b,18,http://steamcommunity.com/id/rockmysock/
a,19,http://steamcommunity.com/profiles/76561198054911600,a,19,http://steamcommunity.com/profiles/76561198055342129,a,19,http://steamcommunity.com/profiles/76561198058481087,a,19,http://steamcommunity.com/profiles/76561198069027306
b,20,http://steamcommunity.com/profiles/76561197998684987,b,20,https://steamcommunity.com/id/NICKzxc,b,20,http://steamcommunity.com/profiles/76561198122081381/,b,20,http://steamcommunity.com/profiles/76561198021633089
a,21,http://steamcommunity.com/id/dex17,a,21, https://steamcommunity.com/id/Kumaran-/,a,21,http://steamcommunity.com/id/mysticaaa/,a,21,https://steamcommunity.com/id/LesteRRRRR/
b,22,http://steamcommunity.com/id/Amandazy/,b,22,http://steamcommunity.com/id/Alvinakalong,b,22,http://steamcommunity.com/id/GrandDaddyCSGO/,b,22,http://steamcommunity.com/profiles/76561198133807764
a,23,http://steamcommunity.com/id/quisquis,a,23,http://steamcommunity.com/profiles/76561198001517145/,a,23,http://steamcommunity.com/id/deathaddersg,a,23,http://steamcommunity.com/profiles/76561198098726575/
b,24,http://steamcommunity.com/id/newuserplayer1,b,24,http://steamcommunity.com/profiles/76561197970799897,b,24,http://steamcommunity.com/profiles/76561198061954369,b,24,http://steamcommunity.com/profiles/76561198018176263
a,25,http://steamcommunity.com/id/JacksJays/,a,25,http://steamcommunity.com/id/xObliterate/,a,25, http://steamcommunity.com/profiles/76561198045845372/,a,25,http://steamcommunity.com/profiles/76561198086745130
b,26,http://steamcommunity.com/id/M9ZE,b,26,http://steamcommunity.com/profiles/76561198062311116,b,26,https://steamcommunity.com/id/esupremacy/,b,26,http://steamcommunity.com/profiles/76561198116138976
a,27,http://steamcommunity.com/id/zeno632,a,27,http://steamcommunity.com/id/jovangjj,a,27,http://steamcommunity.com/id/helloimabner,a,27,http://steamcommunity.com/id/CaptainChilliSauce
b,28,http://steamcommunity.com/profiles/76561198202050452/,b,28,https://steamcommunity.com/id/AeonWcs,b,28,HTTP://STEAMCOMMUNITY.COM/ID/X3GJENSEN,b,28,http://steamcommunity.com/id/yuckgg
a,29,http://steamcommunity.com/id/suspectibility,a,29,http://steamcommunity.com/profiles/76561198145051765,a,29,http://steamcommunity.com/profiles/76561198087709724,a,29,http://steamcommunity.com/profiles/76561198050023480
b,30,http://steamcommunity.com/id/deathwpure,b,30,http://steamcommunity.com/id/jaydenjc/,b,30,http://steamcommunity.com/id/lazyboro,b,30,http://steamcommunity.com/id/wizdeft
